gene	Score	Rank	Rank_z
SFTA3	-0.000106137791	30310	1.56438709677419
ITFG2-AS1	-5.536256e-05	23716.5	1.27601189830168
FAM153B	-0.0002119944527	16149.5	1.17692557531906
PINX1	-0.000113301144666667	12897	1.12215558272299
NAA10	-0.00058173365	19373	0.999896774193548
MYOZ1	-0.00056132034	19372	0.999845161290322
ETV4	-0.00053702237	19371	0.999793548387097
LAMP2	-0.00053512625	19370	0.999741935483871
VEGFB	-0.0004950323	19369	0.999690322580645
DENND4A	-0.0004738451	19368	0.999638709677419
OR4D5	-0.0004584453	19367	0.999587096774194
CACYBP	-0.00045505346	19366	0.999535483870968
MIR670	-0.00045473877	19365	0.999483870967742
PGGHG	-0.00045164864	19364	0.999432258064516
WDR73	-0.00044441552	19363	0.99938064516129
ASF1A	-0.00042316839	19362	0.999329032258064
SPDYE2B	-0.0004198899	19361	0.999277419354839
MMP9	-0.00039987502	19360	0.999225806451613
DNAJC14	-0.00039332223	19359	0.999174193548387
COL18A1-AS1	-0.0003883226	19357	0.999070967741936
IRF9	-0.00038717297	19356	0.99901935483871
MRGPRG-AS1	-0.00038198562	19354	0.998916129032258
TXLNA	-0.000381639	19353	0.998864516129032
PIGM	-0.00038045325	19352	0.998812903225806
KCNK4	-0.00037479782	19350	0.998709677419355
BAGE2	-0.00037260636	6630	0.998644374152734
GNMT	-0.00036651213	19348	0.998606451612903
ORMDL2	-0.00035884252	19344	0.9984
OR1L3	-0.00035642253	19343	0.998348387096774
SLC38A5	-0.00035508568	19342	0.998296774193548
AP5M1	-0.00034496037	19340	0.998193548387097
SNORA13	-0.0003349288	19336	0.997987096774193
APOL6	-0.00033115738	19335	0.997935483870968
MRGPRG	-0.00032844584	19333	0.997832258064516
USE1	-0.00032659023	19332	0.99778064516129
PRSS36	-0.0003246489	19330	0.997677419354839
RCBTB2	-0.0003195175	19329	0.997625806451613
BET1	-0.00031770312	19328	0.997574193548387
GUCY2D	-0.00031630357	19327	0.997522580645161
CES3	-0.00031296082	19326	0.997470967741936
CERS1	-0.00031205465	19325	0.99741935483871
USP17L2	-0.00031108738	19323	0.997316129032258
HPYR1	-0.00030992602	19322	0.997264516129032
MUC5AC	-0.00037160006	6620	0.997138123211327
DDR1	-0.0003063807	19317	0.997006451612903
ARMCX2	-0.00030551676	19316	0.996954838709677
QARS1	-0.00030509982	19315	0.996903225806452
PNPO	-0.000303704	19314	0.996851612903226
NEU1	-0.00029819066	19311	0.996696774193548
GBP4	-0.00029666838	19310	0.996645161290323
DNAJB1	-0.00029537024	19309	0.996593548387097
ADD3-AS1	-0.00029035236	19308	0.996541935483871
GRN	-0.00028980747	19307	0.996490322580645
KRT71	-0.0002817032	19304	0.996335483870968
FAM47B	-0.0002785346	19300	0.996129032258064
ARRDC4	-0.00027824374	19299	0.996077419354839
HOXA9	-0.00026904812	19295	0.995870967741936
DECR1	-0.00026823604	19294	0.99581935483871
SSX8P	-0.00026818595	19293	0.995767741935484
S1PR1	-0.00026644798	19291	0.995664516129032
LINC00342	-0.00036993143	6610	0.99563187226992
PBOV1	-0.00026453182	19289	0.995561290322581
NAT9	-0.00026279502	19287	0.995458064516129
AREG	-0.0002625108	19286	0.995406451612903
CACNB1	-0.00026143916	19284	0.995303225806452
USP17L7	-0.00026135513	19283	0.995251612903226
DBH-AS1	-0.0003698099	6607	0.995179996987498
NAA20	-0.0002594093	19280	0.995096774193548
SNRPE	-0.00025582747	19278	0.994993548387097
EMP3	-0.00025183603	19275	0.994838709677419
ZNF542P	-0.000251001	19274	0.994787096774193
MATK	-0.00024905583	19273	0.994735483870968
TP53I3	-0.0002489018	19272	0.994683870967742
MAGEB1	-0.000248282	19271	0.994632258064516
SNORD116-26	-0.00024611544	19270	0.99458064516129
SEC24C	-0.00024529675	19269	0.994529032258064
OR8I2	-0.00024522436	19268	0.994477419354839
SNORA36C	-0.00024175523	19264	0.994270967741936
SPRR2A	-0.00024145271	19263	0.99421935483871
TMUB2	-0.00024038494	19262	0.994167741935484
OBP2B	-0.00023857859	19260	0.994064516129032
NKX2-4	-0.00023442645	19259	0.994012903225807
PGBP	-0.00023334884	19258	0.993961290322581
GMNN	-0.00023110436	19254	0.993754838709677
ALDH2	-0.00023057136	19253	0.993703225806452
SYCN	-0.0005523012	9888	0.993668977992162
IFNA2	-0.00023029478	19252	0.993651612903226
TOMM5	-0.00022965147	19250	0.993548387096774
HOTAIRM1	-0.00022890887	19248	0.993445161290323
LINC02138	-0.00022768136	19247	0.993393548387097
C9orf163	-0.00022635674	19245	0.993290322580645
ZNF782	-0.00022543532	19244	0.993238709677419
SF3A1	-0.0002239567	19243	0.993187096774194
KLK4	-0.00022360634	19242	0.993135483870968
MIR1276	-0.0002231951	19241	0.993083870967742
FGR	-0.00022229912	19240	0.993032258064516
MIR548I2	-0.00022201559	19239	0.99298064516129
RPL32P3	-0.00022193076	19238	0.992929032258064
HAS2-AS1	-0.00036821899	6592	0.992920620575388
CDK9	-0.0002163251	19234	0.992722580645161
FUCA2	-0.0002145029	19233	0.992670967741936
MIR153-1	-0.0002130158	19230	0.992516129032258
PCSK1N	-0.00021061307	19227	0.992361290322581
PROX2	-0.00021023276	19226	0.992309677419355
MIR2276	-0.0002101183	19225	0.992258064516129
HNRNPA1P33	-0.00038671678	14561.5	0.992219555823535
ZNF853	-0.00021008948	19224	0.992206451612903
MIR526A1	-0.0002100271	19223	0.992154838709677
IFNA8	-0.00020937147	19221	0.992051612903226
NIPBL	-0.00020891923	19220	0.992
HUS1B	-0.00020890981	19219	0.991948387096774
PABPC5	-0.00020858026	19217	0.991845161290323
LINC01750	-0.00020688918	19215	0.991741935483871
TSSK6	-0.00020571363	19213	0.991638709677419
OR4A16	-0.00020490005	19211	0.991535483870968
ZNF747	-0.00020365004	19208	0.99138064516129
ZNF91	-0.00020282804	19207	0.991329032258065
OR4N5	-0.00020264542	19206	0.991277419354839
TBRG1	-0.00020069946	19204	0.991174193548387
ERAS	-0.00019918615	19200	0.990967741935484
GPR137B	-0.00019814602	19199	0.990916129032258
TMEM79	-0.00019730434	19197	0.990812903225806
TUBBP5	-0.00036688524	6578	0.990811869257418
LYPD1	-0.00019729022	19196	0.990761290322581
MIR874	-0.00019713781	19195	0.990709677419355
CENPM	-0.00019705333	19194	0.990658064516129
KRTAP6-3	-0.00019630232	19193	0.990606451612903
DISP3	-0.00019617438	19192	0.990554838709677
SLC25A34	-0.00019473994	19190	0.990451612903226
PCK2	-0.00019338047	19189	0.9904
OR5T3	-0.00019285314	19187	0.990296774193548
RNASEL	-0.00019261379	19186	0.990245161290323
MIR638	-0.00019168394	19181	0.989987096774193
TRPV5	-0.00019136824	19179	0.989883870967742
DIO3	-0.00019096248	19177	0.98978064516129
CBX3	-0.00018994973	19175	0.989677419354839
H3C14	-0.00018970876	19174	0.989625806451613
MIR136	-0.00018952833	19172	0.989522580645161
SEMA3G	-0.00018934438	19170	0.98941935483871
CYP3A4	-0.00018886161	19166	0.989212903225807
HAND2	-0.0001880582	19162	0.989006451612903
C5orf58	-0.00018791495	19161	0.988954838709677
CHRNA6	-0.00018763333	19160	0.988903225806452
PTPRN	-0.0001875291	19159	0.988851612903226
AKR7A2	-0.00018716053	19157	0.988748387096774
OR5M11	-0.00018714763	19156	0.988696774193548
ESAM	-0.00018688542	19155	0.988645161290323
ASIC3	-0.00018677376	19154	0.988593548387097
TMEM238	-0.00018567982	19151	0.988438709677419
OR2L3	-0.00018487658	19150	0.988387096774194
OR5A2	-0.0001827739	19147	0.988232258064516
TMEM82	-0.00018204836	19145	0.988129032258064
ZNF485	-0.00018186527	19144	0.988077419354839
MIR885	-0.00018152922	19143	0.988025806451613
PTPN20	-0.0001811073	19140	0.987870967741936
PGAM5	-0.0001806474	19137	0.987716129032258
SNAP47	-0.00018063419	19136	0.987664516129032
CES2	-0.00018059404	19135	0.987612903225806
SNHG7	-0.00018051357	19133	0.987509677419355
MIR1911	-0.00018050364	19132	0.987458064516129
HBQ1	-0.0001802439	19130	0.987354838709677
CEND1	-0.00017900568	19129	0.987303225806452
OR1C1	-0.00017868003	19127	0.9872
ZGLP1	-0.00017835957	19126	0.987148387096774
ECHS1	-0.00017798843	19125	0.987096774193548
OR7D2	-0.00017788332	19124	0.987045161290323
ATP6V1B2	-0.00049353496	9821	0.986935986333032
EXOC8	-0.00017672879	19121	0.986890322580645
PLXNB3	-0.00017657003	19119	0.986787096774193
TRAPPC6A	-0.00017576458	19117	0.986683870967742
MAGI2-AS2	-0.00017519837	19116	0.986632258064516
NOL6	-0.00017508572	19115	0.98658064516129
MFAP2	-0.00017490063	19114	0.986529032258064
P2RY11	-0.0001741726	19111	0.986374193548387
IL12RB1	-0.00017382324	19108	0.98621935483871
OR4M1	-0.00017356512	19107	0.986167741935484
SYNPO2L	-0.00017330136	19106	0.986116129032258
WHAMM	-0.00017322558	19105	0.986064516129032
FLJ20021	-0.00017294745	19104	0.986012903225807
SH2D2A	-0.00017234015	19103	0.985961290322581
MIR608	-0.00017200764	19102	0.985909677419355
MOCS3	-0.0001718495	19100	0.985806451612903
HSPA1A	-0.00017159201	19099	0.985754838709677
RAB11B	-0.00017150061	19098	0.985703225806452
PPP2CB	-0.00017149022	19097	0.985651612903226
ULBP3	-0.00017147278	19096	0.9856
CCN3	-0.000337192665	14433.5	0.985539784946237
GPATCH3	-0.00017097402	19094	0.985496774193548
ZNF16	-0.00017056859	19091	0.985341935483871
MIR200A	-0.00017000546	19087	0.985135483870968
NCR3	-0.0001695421	19085	0.985032258064516
CXCL8	-0.00016952927	19084	0.98498064516129
SIRT4	-0.00016880436	19082	0.984877419354839
MIR933	-0.00016877626	19081	0.984825806451613
MIR320C1	-0.00016802312	19079	0.984722580645161
ZNF449	-0.0001674272	19075	0.984516129032258
RCOR2	-0.0001674192	19074	0.984464516129032
DEFB132	-0.00016671789	19072	0.984361290322581
GGN	-0.00016649476	19071	0.984309677419355
ZNF20	-0.00016617565	19070	0.984258064516129
PDCL	-0.00016584473	19069	0.984206451612903
ATP6AP1	-0.00016547935	19068	0.984154838709678
BUB3	-0.00016531367	19066	0.984051612903226
ZNF165	-0.0001648079	19064	0.983948387096774
KRT25	-0.00016464033	19062	0.983845161290323
ZNF12	-0.00016430384	19060	0.983741935483871
SCARNA12	-0.00016421251	19059	0.983690322580645
MXRA8	-0.00016365355	19057	0.983587096774194
LINC01433	-0.0001635878	19056	0.983535483870968
DNAJC24	-0.0001631206	19054	0.983432258064516
ATXN7L3	-0.00016312022	19053	0.98338064516129
PHB2	-0.00016268928	19050	0.983225806451613
SNORD114-29	-0.00016254003	19049	0.983174193548387
DRC3	-0.00016252323	19048	0.983122580645161
NFKB2	-0.00016208798	19045	0.982967741935484
TMED9	-0.00016203328	19044	0.982916129032258
OR51I2	-0.00016146615	19043	0.982864516129032
FXYD7	-0.00016070172	19041	0.982761290322581
CFD	-0.000301509285	12856.5	0.982727087736688
DNALI1	-0.00016067398	19040	0.982709677419355
TMA7	-0.00016014827	19039	0.982658064516129
MEN1	-0.00016008086	19038	0.982606451612903
NPL	-0.00016000752	19037	0.982554838709677
OCEL1	-0.00015964973	19033	0.982348387096774
CCDC183-AS1	-0.00015944116	19032	0.982296774193548
KIRREL2	-0.0001593657	19031	0.982245161290323
ZSWIM1	-0.00015924026	19030	0.982193548387097
DDX39A	-0.00015919401	19029	0.982141935483871
SRRM2-AS1	-0.00015815665	19025	0.981935483870968
SAAL1	-0.00015802914	19024	0.981883870967742
UROS	-0.00015738617	19022	0.98178064516129
HES2	-0.00015728732	19021	0.981729032258064
SNORA72	-0.0001568679	19019	0.981625806451613
GAS2L1P2	-0.00015628975	19018	0.981574193548387
S100A11	-0.00015572328	19015	0.98141935483871
SLFNL1	-0.00015566383	19014	0.981367741935484
PDE6B	-0.0001551384	19012	0.981264516129032
NKX2-5	-0.00015486925	19009	0.981109677419355
MIR647	-0.00015451919	19008	0.981058064516129
EIF1AX	-0.00015429626	19007	0.981006451612903
RINL	-0.00015379857	19006	0.980954838709677
UBA1	-0.00015369551	19005	0.980903225806452
POLR1H	-0.00015367882	19004	0.980851612903226
CDK5R2	-0.00015344666	19002	0.980748387096774
TRPC5OS	-0.00015248088	18997	0.980490322580645
PRAC2	-0.00015212268	18996	0.980438709677419
CEPT1	-0.00015202962	18995	0.980387096774194
LINC00838	-0.00015149677	18991	0.98018064516129
CIAPIN1	-0.00015125092	18990	0.980129032258064
MIR642A	-0.00015115918	18989	0.980077419354839
ACOD1	-0.0001504987	18987	0.979974193548387
NPPA	-0.00015018466	18986	0.979922580645161
TPRG1-AS2	-0.00015015774	18985	0.979870967741935
LYL1	-0.00015000257	18984	0.97981935483871
EOLA2	-0.000446357	9750	0.979801025022611
SYVN1	-0.00014955041	18982	0.979716129032258
SEPTIN1	-0.00014912715	18981	0.979664516129032
DXO	-0.0001486162	18979	0.979561290322581
PTBP1	-0.00014854703	18978	0.979509677419355
RNPC3	-0.00014839732	18977	0.979458064516129
PTCH2	-0.00014798617	18975	0.979354838709677
KCTD19	-0.00014752716	18973	0.979251612903226
RING1	-0.00014718488	18971	0.979148387096774
LINC00654	-0.00014682603	18970	0.979096774193548
HMGB3	-0.00014681961	18969	0.979045161290323
DIPK1B	-0.00014658869	18967	0.978941935483871
SNRPD2	-0.0001463114	18965	0.978838709677419
CEBPE	-0.00014628848	18964	0.978787096774193
FZD8	-0.000146111	18962	0.978683870967742
MIR129-2	-0.00014603636	18961	0.978632258064516
FGD5-AS1	-0.00014591122	18959	0.978529032258064
PLEKHA4	-0.00014563865	18958	0.978477419354839
UGT2B7	-0.00014547976	18957	0.978425806451613
SPACA1	-0.00014485186	18956	0.978374193548387
N4BP2L1	-0.00024502539	12654.5	0.978291518835425
FNDC11	-0.00014464982	18954	0.978270967741935
LCE1C	-0.0001438032	18950	0.978064516129032
PLN	-0.00014355489	18948	0.977961290322581
ETV2	-0.00014315413	18946	0.977858064516129
CYP4F24P	-0.00036297034	6491	0.977707486067179
BOLA2	-0.0001430397	18942	0.977651612903226
LMO2	-0.00014284301	18939	0.977496774193548
SLC39A7	-0.00014279132	18938	0.977445161290323
NR2F6	-0.00014231	18935	0.977290322580645
SNIP1	-0.00014221939	18933	0.977187096774194
TM6SF1	-0.00014201559	18930	0.977032258064516
CEP192	-0.00014180611	18927	0.976877419354839
TACSTD2	-0.00014138602	18925	0.976774193548387
SNORC	-0.00014113325	18920	0.976516129032258
ADAP2	-0.0001410269	18918	0.976412903225807
SPDYE4	-0.00014065218	18913	0.976154838709677
DACT1	-0.00014053546	18912	0.976103225806452
EIF4E1B	-0.00014019576	18911	0.976051612903226
MIR346	-0.00014010757	18909	0.975948387096774
SMPD4BP	-0.00013980884	18905	0.975741935483871
RAB6C-AS1	-0.00013970835	18904	0.975690322580645
TSLP	-0.00013966122	18902	0.975587096774193
OR51D1	-0.00013954303	18901	0.975535483870968
MIR629	-0.00013941598	18900	0.975483870967742
SAFB	-0.00013928655	18899	0.975432258064516
USH1G	-0.00013925572	18898	0.97538064516129
PDCD7	-0.00013905017	18897	0.975329032258065
LINC02052	-0.00013866105	18893	0.975122580645161
ZNF684	-0.00013852335	18892	0.975070967741935
HHIPL2	-0.00013847051	18891	0.97501935483871
STK19	-0.00013815484	18888	0.974864516129032
MIR641	-0.0001381415	18887	0.974812903225807
SF3B6	-0.00013784457	18884	0.974658064516129
LINC00485	-0.00013759424	18883	0.974606451612903
BGLAP	-0.0001372465	18881	0.974503225806452
B4GALNT1	-0.0001371321	18878	0.974348387096774
KISS1R	-0.00013675434	18877	0.974296774193548
SEPHS2	-0.00013637304	18876	0.974245161290323
TSHB	-0.0001361579	18875	0.974193548387097
OR2T29	-0.00013565274	18872	0.974038709677419
UNC119	-0.00013562324	18871	0.973987096774194
OR2T10	-0.000135314	18869	0.973883870967742
PRR9	-0.00013505823	18866	0.973729032258064
FAM111A	-0.0001349358	18864	0.973625806451613
SZRD1	-0.00013491661	18863	0.973574193548387
LRRC73	-0.0001348209	18861	0.973470967741935
SPACA9	-0.00013464672	18860	0.97341935483871
SLC31A1	-0.00027544034	14323	0.973408903627776
CCDC43	-0.0001345912	18859	0.973367741935484
MIR921	-0.00013409916	18856	0.973212903225807
BRAP	-0.0001340621	18855	0.973161290322581
EHBP1L1	-0.00013401447	18854	0.973109677419355
TIMM29	-0.00013374696	18852	0.973006451612903
MIR1208	-0.00013311564	18848	0.9728
PFAS	-0.00013303573	18847	0.972748387096774
SPATA5L1	-0.00013285963	18846	0.972696774193548
HSPB1	-0.00013273266	18844	0.972593548387097
FEM1B	-0.00013259675	18843	0.972541935483871
LINC01102	-0.00013246508	18842	0.972490322580645
PIGP	-0.00013245252	18841	0.972438709677419
DZIP1L	-0.00013243384	18840	0.972387096774194
FOXL2NB	-0.00013197542	18836	0.97218064516129
FAM9A	-0.00013193414	18835	0.972129032258064
CATIP	-0.0001318182	18833	0.972025806451613
NPHP1	-0.00013162309	18832	0.971974193548387
ABCB10	-0.00013130001	18830	0.971870967741935
MYD88	-0.00013129029	18829	0.97181935483871
